Library Group,Subscription Tier,Cost ($),Flow Metric
Small Library,Standard,10.66,1438
Large Library,Standard,14.67,1971
Medium Library,Standard,15.05,2063
Medium Library,Standard,14.67,1638
Medium Library,Standard,13.13,1856
Large Library,Standard,11.29,1971
Small Library,Standard,20.46,1336
Large Library,Standard,11.29,1972
Medium Library,Standard,10.65,2387
Medium Library,Standard,10.43,1835
Small Library,Standard,11.29,1464
Medium Library,Standard,13.54,1998
Medium Library,Standard,13.54,1597
Large Library,Standard,12.53,2081
Medium Library,Standard,12.17,1573
Medium Library,Standard,11.49,1642
Medium Library,Standard,8.56,1831
Large Library,Standard,9.14,2208
Medium Library,Standard,10.58,1597
Medium Library,Standard,13.54,1628
Medium Library,Standard,11.29,1471
Medium Library,Standard,10.84,2087
Small Library,Standard,14.67,373
Large Library,Standard,12.81,2194
Large Library,Standard,11.29,1980
Medium Library,Standard,10.05,2050
Medium Library,Standard,11.47,1861
Medium Library,Standard,14.67,1693
Medium Library,Standard,14.2,1388
Medium Library,Standard,20.46,1852
Medium Library,Standard,11.9,1971
Medium Library,Standard,10.43,1971
Medium Library,Standard,3.0,1709
Medium Library,Standard,8.46,2075
Large Library,Standard,13.2,2092
Medium Library,Standard,13.99,1992
Medium Library,Standard,12.99,1835
Medium Library,Standard,10.99,1643
Medium Library,Premium,9.26,1606
Large Library,Premium,16.39,2064
Medium Library,Premium,20.32,1861
Medium Library,Premium,20.32,1616
Medium Library,Premium,13.99,1836
Medium Library,Premium,9.96,1810
Large Library,Premium,13.54,1978
Large Library,Premium,15.03,1928
Medium Library,Premium,12.74,1838
Medium Library,Premium,9.93,1835
Medium Library,Premium,15.99,1836
Small Library,Premium,13.54,599
Large Library,Premium,14.15,2091
Medium Library,Premium,19.6,1580
Medium Library,Premium,13.99,1837
Large Library,Premium,13.54,1970
Medium Library,Premium,18.06,1407
Medium Library,Premium,20.32,1841
Medium Library,Premium,20.32,1854
Large Library,Premium,20.32,2088
Medium Library,Premium,15.8,1428
Medium Library,Premium,13.99,1613
Medium Library,Premium,13.99,1835
Medium Library,Premium,11.93,1863
Large Library,Premium,13.78,2082
Large Library,Premium,20.32,1961
Medium Library,Premium,8.6,2125
Small Library,Premium,12.96,1438
Large Library,Premium,20.32,1971
Medium Library,Premium,19.54,2063
Medium Library,Premium,20.32,1638
Medium Library,Premium,17.45,1856
Large Library,Premium,13.54,1971
Small Library,Premium,26.96,1336
Large Library,Premium,13.54,1972
Medium Library,Premium,13.02,2387
Medium Library,Premium,14.24,1835
Small Library,Premium,13.54,1464
Medium Library,Premium,18.06,1998
Medium Library,Premium,18.06,1597
Large Library,Premium,16.94,2081
Medium Library,Premium,17.75,1573
Medium Library,Premium,14.69,1642
Medium Library,Premium,11.01,1831
Large Library,Premium,10.93,2208
Medium Library,Premium,14.76,1597
Medium Library,Premium,18.06,1628
Medium Library,Premium,13.54,1471
Medium Library,Premium,13.56,2087
Small Library,Premium,20.32,373
Large Library,Premium,16.11,2194
Large Library,Premium,13.54,1980
Medium Library,Premium,12.58,2050
Medium Library,Premium,14.45,1861
Medium Library,Premium,20.32,1693
Medium Library,Premium,19.7,1388
Medium Library,Premium,26.96,1852
Medium Library,Premium,14.07,1971
Medium Library,Premium,12.52,1971
Medium Library,Premium,4.02,1709
Medium Library,Premium,11.29,2075
Large Library,Premium,18.48,2092
Medium Library,Premium,17.99,1992
Medium Library,Premium,15.99,1835
Medium Library,Premium,13.99,1643
